SKU;STOCK;TIMESTAMP
01001044504;10;2014-03-19 12:34:29
01001044505;39;2014-03-19 12:34:29
01001049001;11;2014-03-19 12:34:29
01001049002;4;2014-03-19 12:34:29
01001049003;9;2014-03-19 12:34:29
01001049004;6;2014-03-19 12:34:29
01001049005;10;2014-03-19 12:34:29
01001054801;53;2014-03-19 12:34:29
01001054802;53;2014-03-19 12:34:29
01001054803;9;2014-03-19 12:34:29
01001054804;52;2014-03-19 12:34:29
01001054805;6;2014-03-19 12:34:29
01001062001;4;2014-03-19 12:34:29
01001062002;26;2014-03-19 12:34:29
01001062003;17;2014-03-19 12:34:29
01001062004;29;2014-03-19 12:34:29
01001062005;4;2014-03-19 12:34:29
01001073201;70;2014-03-19 12:34:29
01001073202;126;2014-03-19 12:34:29
01001073203;129;2014-03-19 12:34:29
01001073204;81;2014-03-19 12:34:29
01001073205;72;2014-03-19 12:34:29
01001074001;39;2014-03-19 12:34:29
01001074002;3;2014-03-19 12:34:29
01001074003;28;2014-03-19 12:34:29
01001074004;20;2014-03-19 12:34:29
01001074005;42;2014-03-19 12:34:29
01001074801;53;2014-03-19 12:34:29
01001074802;5;2014-03-19 12:34:29
01001074803;11;2014-03-19 12:34:29
01001074804;10;2014-03-19 12:34:29
01001074805;38;2014-03-19 12:34:29
01001200100;460;2014-03-19 12:34:29
01001200101;697;2014-03-19 12:34:29
01001200102;390;2014-03-19 12:34:29
01001200103;337;2014-03-19 12:34:29
01001200104;399;2014-03-19 12:34:29
01001200105;188;2014-03-19 12:34:29
01001200200;220;2014-03-19 12:34:29
01001200201;574;2014-03-19 12:34:29
01001200202;906;2014-03-19 12:34:29
01001200203;661;2014-03-19 12:34:29
01001200204;363;2014-03-19 12:34:29
01001200205;153;2014-03-19 12:34:29
01001200300;73;2014-03-19 12:34:29
01001200301;58;2014-03-19 12:34:29
01001200302;74;2014-03-19 12:34:29
01001200303;56;2014-03-19 12:34:29
01001200304;78;2014-03-19 12:34:29
01001200305;19;2014-03-19 12:34:29
01001200400;53;2014-03-19 12:34:29
01001200401;98;2014-03-19 12:34:29
01001200402;160;2014-03-19 12:34:29
01001200403;120;2014-03-19 12:34:29
01001200404;70;2014-03-19 12:34:29
01001200405;74;2014-03-19 12:34:29
01001215000;20;2014-03-19 12:34:29
01001215001;35;2014-03-19 12:34:29
01001215002;70;2014-03-19 12:34:29
01001215003;57;2014-03-19 12:34:29
01001215004;53;2014-03-19 12:34:29
01001223000;15;2014-03-19 12:34:29
01001223001;11;2014-03-19 12:34:29
